id,name,min_players,max_players,play_time,min_age,published,owned,average_rating,category
718,Galaxy: The Dark Ages,2,5,90,12,2000,971,5.76636,Science Fiction
719,Tyranno Ex,2,4,120,12,1990,839,5.78577,Fighting
720,Fast Food Franchise,2,5,120,12,1992,408,5.72764,Economic
723,X-Men Alert,2,4,60,9,1992,694,5.63513,Fighting
751,Minos,2,4,120,16,1991,542,5.6798400000000004,Economic
751,Minos,2,4,120,16,1991,542,5.6798400000000004,Fighting
752,Maul of America,2,6,120,12,1998,175,5.4105,Fighting
761,The Great Brain Robbery,3,7,60,10,2000,1180,5.50462,Fighting
765,Space Walk,2,5,45,8,1999,493,5.60916,Science Fiction
785,Dog Eat Dog,2,6,90,12,1999,222,5.459,Economic
786,Maxi Bour$e,2,6,90,10,1987,293,5.34861,Economic
796,Shanghai Trader,3,6,240,12,1986,373,5.65468,Economic
799,The Hills Rise Wild!,2,4,180,12,2000,555,5.66599,Fighting
804,Thunder Road,2,4,45,10,1986,1043,5.94661,Fighting
804,Thunder Road,2,4,45,10,1986,1043,5.94661,Science Fiction
815,Chrononauts,1,6,30,11,2000,7295,6.05324,Bluffing
815,Chrononauts,1,6,30,11,2000,7295,6.05324,Science Fiction
816,2038: Tycoons of the Asteroid Belt,3,6,360,14,1995,746,5.9102,Economic
816,2038: Tycoons of the Asteroid Belt,3,6,360,14,1995,746,5.9102,Science Fiction
825,Screaming Eagles,2,4,20,10,1987,663,5.57852,Fighting
831,Schrille Stille,3,6,60,10,1999,656,5.91119,Economic
836,New England Railways,3,6,120,13,2000,411,5.66158,Economic
840,Corsairs,2,4,60,10,2000,712,5.69752,Fighting
841,Razzia,3,8,30,12,1992,470,5.69202,Bluffing
841,Razzia,3,8,30,12,1992,470,5.69202,Economic
843,Circus Minimus,2,7,60,12,2000,633,5.65805,Fighting
854,Doge,3,4,45,12,2000,1144,5.92954,Bluffing
875,Roads & Boats,1,4,240,14,1999,3452,7.15401,Economic
883,Ivanhoe,2,5,45,10,2000,2087,6.16232,Fighting
900,City,2,6,30,8,1988,206,5.51398,Economic
902,Meuterer,3,4,60,12,2000,5130,6.59982,Fighting
906,Abilene,3,6,45,8,1983,232,5.53162,Fighting
911,Empires of the Middle Ages,1,6,240,14,1980,863,5.94127,Economic
925,Werewolf,8,24,60,8,1986,3717,6.393,Bluffing
927,Lift Off,2,4,30,8,2000,307,5.45256,Science Fiction
935,Australian Rails,2,6,240,10,1994,739,5.93479,Economic
944,Mag·Blast,2,6,60,10,1998,411,5.60268,Fighting
944,Mag·Blast,2,6,60,10,1998,411,5.60268,Science Fiction
956,Azteca,2,4,240,12,2000,323,5.54869,Economic
958,Orcz,2,4,45,12,2000,479,5.49314,Bluffing
958,Orcz,2,4,45,12,2000,479,5.49314,Fighting
982,Amoeba Wars,2,6,150,12,1981,903,5.63804,Science Fiction
1014,Fief 2,3,6,120,10,1989,234,5.66226,Economic
1036,Speculation,3,6,45,10,1992,863,5.98098,Economic
1037,Deadlands: Doomtown,2,6,45,10,1998,859,6.17175,Fighting
1042,Dragon's Gold,3,6,45,12,2001,3648,6.22273,Fighting
1044,Gunslinger,1,7,90,12,1982,1712,6.21691,Fighting
1098,Judge Dredd,2,6,90,8,1982,762,5.67888,Fighting
1098,Judge Dredd,2,6,90,8,1982,762,5.67888,Science Fiction
1117,You're Bluffing!,3,5,45,10,1985,4178,6.32704,Bluffing
1125,Big Shot,2,4,30,10,2001,552,5.79183,Economic
1126,Car Wars: The Card Game,2,6,60,10,1991,1252,5.46792,Fighting
1126,Car Wars: The Card Game,2,6,60,10,1991,1252,5.46792,Science Fiction
1143,Warrior Knights,2,6,180,10,1985,1060,5.8661,Fighting
1144,The Warlock of Firetop Mountain,2,6,120,10,1986,1146,5.60156,Fighting
1145,City of Chaos,1,6,300,12,1996,301,5.6765,Fighting
1146,Shadowlord!,2,4,150,10,1983,959,5.49854,Science Fiction
1149,Dragon Strike,2,6,60,10,1993,1383,5.69298,Fighting
1152,The Mystic Wood,2,4,60,12,1980,873,5.79386,Fighting
1157,Save Doctor Lucky,3,7,30,10,2000,2277,5.66911,Bluffing
1159,Evo,3,5,60,14,2001,3640,6.62483,Science Fiction
1162,Burp,2,4,60,10,1995,221,5.50549,Bluffing
1163,"Ciao, Ciao...",2,4,30,10,1997,506,5.63001,Bluffing
1206,Venture,2,6,45,10,1969,1580,5.88375,Economic
1207,Big Deal,2,6,120,12,2001,211,5.49136,Economic
1237,Autoscooter,2,8,60,10,1999,166,5.62101,Bluffing
1246,Insecta,1,7,300,12,1995,367,5.58438,Fighting
1246,Insecta,1,7,300,12,1995,367,5.58438,Science Fiction
1257,Starbase Jeff,2,4,60,10,1998,750,5.65706,Science Fiction
1263,Knatsch,2,6,30,8,2000,1358,5.54361,Fighting
1301,Netrunner,2,2,45,10,1996,2894,6.82201,Science Fiction
1309,Die Magier von Pangea,2,4,60,10,2001,926,5.78292,Economic
1312,Nur Peanuts!,2,6,45,8,2001,207,5.60404,Economic
1330,Savannah Café,2,4,20,7,2001,518,5.50037,Bluffing
1339,Dungeon!,1,8,30,8,1975,5491,5.75873,Fighting
1346,Crazy Race,3,4,30,12,2001,339,5.53489,Bluffing
1370,The Classic Dungeon,2,6,30,6,1992,633,5.61167,Fighting
1398,Chicago,2,4,120,16,1986,418,5.47869,Fighting
1408,Gammarauders,2,6,120,12,1987,788,5.54831,Science Fiction
1420,Monopoly Express,2,4,20,8,1991,1472,5.583,Economic
1421,Lost Worlds,2,2,10,10,1983,1234,5.78782,Fighting
1434,Dealer's Choice,3,5,45,8,1972,456,5.53933,Economic
1435,4000 A.D.,2,4,90,10,1972,817,5.45167,Science Fiction
1436,Billionaire,2,4,60,9,1973,576,5.41946,Economic
1437,Trust Me,2,4,45,8,1981,351,5.44802,Bluffing
1437,Trust Me,2,4,45,8,1981,351,5.44802,Economic
1447,1841,2,8,300,14,1994,226,5.85739,Economic
1467,Abduction,2,4,20,10,1998,408,5.43568,Fighting
1467,Abduction,2,4,20,10,1998,408,5.43568,Science Fiction
1471,Gangsters,2,5,120,12,1992,550,5.66575,Fighting
1491,Outpost,2,9,150,12,1991,1366,6.20622,Economic
1491,Outpost,2,9,150,12,1991,1366,6.20622,Science Fiction
1493,1853,3,6,180,12,1989,1092,5.9321,Economic
1501,Masterpiece,3,6,60,8,1970,2603,5.48692,Bluffing
1502,Hotel Tycoon,2,4,60,8,1974,3251,5.38022,Economic
1503,Mid-East Peace,2,6,120,12,1990,230,5.44961,Bluffing
1506,Conquistador,1,4,360,12,1976,1500,5.8193,Economic
1518,Executive Decision,2,6,90,12,1971,1229,5.64839,Economic
1519,Kult,2,99,45,14,1995,303,5.67642,Fighting
1522,Get Out,2,8,120,10,1998,576,5.49898,Economic
1540,BattleTech,2,20,90,12,1985,3907,6.53207,Fighting
1540,BattleTech,2,20,90,12,1985,3907,6.53207,Science Fiction
1544,Beyond Balderdash,2,6,45,10,1993,3449,6.38891,Bluffing
1552,Illuminati: New World Order,2,8,120,12,1994,2234,5.95735,Science Fiction
1558,Rogue Trooper,2,6,120,12,1987,733,5.60774,Fighting
1558,Rogue Trooper,2,6,120,12,1987,733,5.60774,Science Fiction
1566,Simply Cosmic,2,4,45,10,1995,548,5.68226,Science Fiction
1568,Space Crusade,2,4,120,10,1990,3333,6.39929,Science Fiction
1578,RoadKill,2,10,90,12,1993,614,5.57608,Fighting
1578,RoadKill,2,10,90,12,1993,614,5.57608,Science Fiction
1579,Wrasslin',2,16,45,10,1990,620,5.60363,Fighting
1580,Legends of Robin Hood,2,5,60,10,1991,333,5.50444,Fighting
1590,Stocks & Bonds,2,8,60,12,1964,1911,5.51586,Economic
1598,Olympica,2,2,45,12,1978,402,5.55855,Science Fiction
1608,Ambush!,1,1,240,12,1983,3814,6.68417,Fighting
1621,Mutant Chronicles: Siege of the Citadel,2,5,120,10,1993,1485,6.16552,Science Fiction
1627,XXXenophile,2,5,45,12,1996,433,5.55995,Bluffing
1627,XXXenophile,2,5,45,12,1996,433,5.55995,Science Fiction
1686,Spy vs Spy,2,4,90,10,1986,287,5.49785,Fighting
1690,Unexploded Cow,2,6,25,12,2001,2826,5.8036,Economic
1693,Gladiator,2,6,90,12,1981,972,5.76622,Fighting
1695,The Legend of Robin Hood,2,2,120,12,1979,935,5.68941,Economic
1698,X-Men: Under Siege,2,4,120,10,1994,447,5.52155,Fighting
1698,X-Men: Under Siege,2,4,120,10,1994,447,5.52155,Science Fiction
1702,Klondike,2,4,20,6,1993,465,5.72862,Bluffing
1706,UFO: Game of Close Encounters,2,2,30,12,1976,394,5.41604,Science Fiction
1708,Stellar Conquest,2,4,240,12,1975,1253,5.77831,Economic
1708,Stellar Conquest,2,4,240,12,1975,1253,5.77831,Science Fiction
1721,Business Strategy,2,4,90,10,1973,398,5.54698,Economic
1723,Alpha Omega,2,3,120,12,1977,507,5.45321,Science Fiction
1727,Summit,3,6,60,12,1961,353,5.51691,Economic
1748,A Question of Scruples,4,12,60,18,1984,1241,5.12177,Bluffing
1758,Advanced Heroquest,1,5,120,10,1989,1896,6.04187,Fighting
1771,Cosmic Coasters,2,4,10,10,2001,516,5.4296,Science Fiction
1772,Asteroid,2,2,120,10,1980,384,5.59467,Science Fiction
1796,Pampas Railroads,3,6,120,12,2001,283,5.77747,Economic
1797,Pay Day,2,6,30,8,1975,3044,4.95965,Economic
1823,1829,3,9,360,12,1974,333,5.7568,Economic
1827,Chainsaw Warrior,1,1,60,10,1987,1008,5.5781,Fighting
1829,Risk 2210 A.D.,2,5,240,10,2001,9459,6.42973,Science Fiction
1830,Nippon Rails,2,4,240,10,1992,950,5.94794,Economic
1831,North American Rails,2,6,120,12,1992,218,5.67202,Economic
1836,Solarquest,2,6,60,8,1986,1319,5.57545,Economic
1836,Solarquest,2,6,60,8,1986,1319,5.57545,Science Fiction
1859,Doomtrooper,2,7,60,10,1994,598,5.46396,Fighting
1859,Doomtrooper,2,7,60,10,1994,598,5.46396,Science Fiction
1887,Legend of the Five Rings,2,8,45,12,1995,2060,6.43474,Fighting
1897,Starfarers of Catan,3,4,120,12,1999,5850,6.54827,Science Fiction
1899,13 Dead End Drive,2,4,45,9,1993,2488,5.61219,Bluffing
1901,Star Fleet Battle Force,1,6,90,8,2001,426,5.66005,Science Fiction
1902,Mad Scientist,2,4,30,10,2000,185,5.38448,Science Fiction
1912,World Cup Tournament Football,2,10,60,10,1993,251,5.63766,Bluffing
1920,The Business Game,2,6,90,8,1965,497,5.55248,Economic
1927,Munchkin,3,6,120,10,2001,47958,5.79778,Fighting
